case_id,image_width,image_height,mpp_x,mpp_y,patch_min_x_pixel,patch_min_y_pixel,patch_size,patch_polygon_area,patch_area_seleted_percentage,nucleus_area,percent_nuclear_material,tumorFlag,grayscale_patch_mean,grayscale_patch_std,Hematoxylin_patch_mean,Hematoxylin_patch_std,grayscale_segment_mean,grayscale_segment_std,Hematoxylin_segment_mean,Hematoxylin_segment_std,Flatness_segment_mean,Flatness_segment_std,Perimeter_segment_mean,Perimeter_segment_std,Circularity_segment_mean,Circularity_segment_std,r_GradientMean_segment_mean,r_GradientMean_segment_std,b_GradientMean_segment_mean,b_GradientMean_segment_std,r_cytoIntensityMean_segment_mean,r_cytoIntensityMean_segment_std,b_cytoIntensityMean_segment_mean,b_cytoIntensityMean_segment_std,Elongation_segment_mean,Elongation_segment_std,datetime
PC_058_0_1,162239,86955,0.2464,0.2464,29184,64512,512,1548.084621,9.726875732,26.23500799,1.694675319,tumor,171.7255363,28.19619486,19.50045776,7.043315913,112.8312343,18.77707568,37.95969773,5.135777398,2.00524,1.154350459,47.50323333,26.62945413,0.790339667,0.178761526,15.56619,7.335887439,12.18093667,4.313328293,202.362,13.03185768,176.457,9.819499207,2.00524,1.154350459,51:23.7
PC_058_0_1,162239,86955,0.2464,0.2464,29184,65024,512,3637.800687,22.85691281,142.3111782,3.912011418,tumor,178.0812721,28.45228367,21.93239975,6.015156693,104.4926852,28.30826763,45.4601227,8.272448412,2.374426,2.16504082,70.16362,53.59016947,0.7551097,0.252966684,15.933015,4.573719912,10.499814,3.502005981,204.3867,16.41263936,166.1438,18.4946525,2.374426,2.16504082,52:03.5
PC_058_0_1,162239,86955,0.2464,0.2464,29184,65536,512,5652.107691,35.5131421,294.9193467,5.21786496,tumor,181.4561386,29.61319273,17.94852829,6.582023279,104.3029131,28.32397518,41.82703687,8.930247935,1.963221304,1.260601139,70.22341304,23.5616747,0.779434043,0.160134317,16.91543913,3.075157287,11.47114696,2.312481095,209.4059565,12.2053882,176.1650435,13.46409219,1.963221304,1.260601139,50:02.9
PC_058_0_1,162239,86955,0.2464,0.2464,29184,66048,512,5842.891584,36.71186934,194.7917344,3.333824213,tumor,184.3645935,24.8889875,20.55392456,5.093284809,120.7205982,18.17793251,38.37287559,5.934492713,1.553470833,0.43732582,62.66844167,22.11255998,0.828298417,0.0778324,12.25255667,1.951936402,8.880544167,1.441052725,199.4601667,9.292942563,167.63025,9.289852377,1.553470833,0.43732582,50:02.2
PC_058_0_1,162239,86955,0.2464,0.2464,29184,66560,512,5003.068171,31.43511776,376.6758302,7.528896615,tumor,191.9024811,31.74285935,17.93961334,6.530879713,112.6361261,28.74878084,38.78888695,9.205090598,1.739774,0.977218843,66.105148,24.60792029,0.7983274,0.138185147,15.9009368,4.65566296,11.231552,2.976704326,211.61856,13.12589542,183.52568,14.03496026,1.739774,0.977218843,50:03.6
PC_058_0_1,162239,86955,0.2464,0.2464,29184,67072,512,3851.651874,24.20057575,146.3807994,3.800468064,tumor,199.6611786,29.77405107,19.88234711,5.584141617,117.8010999,23.0892708,39.74106324,8.027698975,2.23983,1.281767174,68.77614444,21.28679569,0.740855889,0.171598063,13.45331222,2.734934743,9.305097778,1.612890925,213.1967778,7.156115842,182.212,5.826028645,2.23983,1.281767174,50:02.9
PC_058_0_1,162239,86955,0.2464,0.2464,29184,67584,512,2242.87318,14.09234896,16.21036032,0.722749751,tumor,208.9291191,27.17145115,12.73468018,5.006378102,116.9427313,17.01648016,33.76211454,6.122520782,1.274015,0.115475,60.234,3.1213,0.8907315,0.0046525,13.38005,1.46265,9.211905,0.351035,209.2855,5.6905,179.712,1.264,1.274015,0.115475,45:29.9
PC_058_0_1,162239,86955,0.2464,0.2464,29696,62464,512,3320.140173,20.86099844,134.8692237,4.062154509,tumor,167.314785,31.30493994,19.67498779,8.089931683,87.93171913,21.39732929,45.63825666,8.527942328,1.518428571,0.324473838,69.67571429,11.0395031,0.834122571,0.050794991,15.99693,3.749390278,9.699308571,2.572261031,203.8717143,14.00378623,157.137,11.82982374,1.518428571,0.324473838,57:15.6
PC_058_0_1,162239,86955,0.2464,0.2464,29696,62976,512,6883.323504,43.24907787,334.9761347,4.866488325,tumor,168.9948769,29.43698503,20.99648285,7.146245704,103.3689602,22.66737622,41.82508697,8.111523389,1.534939545,0.473659473,62.01645455,25.78616429,0.8255555,0.104302708,13.75703636,3.020890045,9.114993636,1.598993364,189.6525,17.93474763,155.0989091,15.17647284,1.534939545,0.473659473,57:21.1
PC_058_0_1,162239,86955,0.2464,0.2464,29696,63488,512,10246.39497,64.37982083,234.2002432,2.28568432,tumor,174.7977219,26.97757708,19.53451538,6.172995382,99.32092098,22.39612292,42.94599204,8.070041216,1.556755625,0.606804796,60.03580625,16.22619977,0.828154937,0.104936458,13.29243375,2.775025487,9.11418875,1.884153457,202.073375,16.53853321,161.804375,13.74322119,1.556755625,0.606804796,51:25.1
